id,key,value,node_id,is_synced
2448,modem/address,192.168.1.1,0,0
2449,modem/username,admin,0,0
2450,modem/password,admin,0,0
2511,database/version,67,0,0
2512,lock/subType,1,0,0
2513,lock/tech,AUTO,0,0
2514,lock/band,,0,0
2515,lock/plmnId,,0,0
2516,lock/arfcn,0,0,0
2517,lock/roaming,true,0,0
2518,location/interval,1000,0,0
2519,location/smallestDisplacement,10.0,0,0
2520,location/nodeType,mobile,0,0
2521,location/historySize,1,0,0
2522,location/enableGps,true,0,0
2523,location/latitude,48.858,0,0
2524,location/longitude,2.2946,0,0
2525,location/altitude,0.0,0,0
2526,service/enableCpLog,true,0,0
2527,service/enableStateName,false,0,0
2528,service/enableStateDetail,true,0,0
2529,service/enableMessage,true,0,0
2530,service/enableSIBMessage,true,0,0
2531,service/enablePagingMessage,false,0,0
2532,service/enableMeasurementMessage,true,0,0
2533,service/simSlot,SLOT2,0,0
2534,service/simAPN,mcinet,0,0
2535,service/enableTest,true,0,0
2536,SIM_SLOT_NAME,SLOT2,0,0
2537,weather/updateInterval,600000,0,0
2538,sync/ip,capellaserver.pestelecom.ir,0,0
2539,sync/port,38899,0,0
2540,sync/statusPeriod,86400000,0,0
2541,sync/syncPeriod,86400000,0,0
