id,key,value,node_id,is_synced
2042,modem/address,192.168.1.1,0,0
2043,modem/username,admin,0,0
2044,modem/password,admin,0,0
2108,lock/subType,1,0,0
2109,lock/tech,AUTO,0,0
2110,lock/band,,0,0
2111,lock/plmnId,,0,0
2112,lock/arfcn,0,0,0
2113,lock/roaming,true,0,0
2114,service/enableCpLog,true,0,0
2115,location/interval,1000,0,0
2116,location/smallestDisplacement,10.0,0,0
2117,service/enableStateName,false,0,0
2118,location/nodeType,mobile,0,0
2119,location/historySize,1,0,0
2120,location/enableGps,true,0,0
2121,location/latitude,48.858,0,0
2122,location/longitude,2.2946,0,0
2123,location/altitude,0.0,0,0
2124,service/enableStateDetail,true,0,0
2125,service/enableMessage,true,0,0
2126,service/enableSIBMessage,true,0,0
2127,service/enablePagingMessage,false,0,0
2128,service/enableMeasurementMessage,true,0,0
2129,service/simSlot,SLOT2,0,0
2130,service/simAPN,mcinet,0,0
2131,service/enableTest,true,0,0
2132,SIM_SLOT_NAME,SLOT2,0,0
2133,weather/updateInterval,600000,0,0
2134,sync/ip,capellaserver.pestelecom.ir,0,0
2135,sync/port,38899,0,0
2136,sync/statusPeriod,172000000,0,0
2137,sync/syncPeriod,172800000,0,0
2138,database/version,67,0,0
