id,key,value,node_id,is_synced
2294,modem/address,192.168.1.1,0,0
2295,modem/username,admin,0,0
2296,modem/password,admin,0,0
2298,location/interval,1000,0,0
2328,database/version,67,0,0
2329,lock/subType,1,0,0
2330,lock/tech,AUTO,0,0
2331,lock/band,,0,0
2332,lock/plmnId,,0,0
2333,lock/arfcn,0,0,0
2334,lock/roaming,true,0,0
2335,location/smallestDisplacement,10.0,0,0
2336,location/nodeType,mobile,0,0
2337,location/historySize,1,0,0
2338,location/enableGps,true,0,0
2339,location/latitude,48.858,0,0
2340,location/longitude,2.2946,0,0
2341,location/altitude,0.0,0,0
2342,service/enableCpLog,true,0,0
2343,service/enableStateName,false,0,0
2344,service/enableStateDetail,true,0,0
2345,service/enableMessage,true,0,0
2346,service/enableSIBMessage,true,0,0
2347,service/enablePagingMessage,false,0,0
2348,service/enableMeasurementMessage,true,0,0
2349,service/simSlot,SLOT2,0,0
2350,service/simAPN,mcinet,0,0
2351,service/enableTest,true,0,0
2352,SIM_SLOT_NAME,SLOT2,0,0
2353,weather/updateInterval,600000,0,0
2354,sync/ip,capellaserver.pestelecom.ir,0,0
2355,sync/port,38899,0,0
2356,sync/statusPeriod,259200000,0,0
2357,sync/syncPeriod,259200000,0,0
