id,key,value,node_id,is_synced
2448,modem/address,192.168.1.1,0,0
2449,modem/username,admin,0,0
2450,modem/password,admin,0,0
2451,database/version,67,0,0
2452,lock/subType,1,0,0
2453,lock/tech,AUTO,0,0
2454,lock/band,,0,0
2455,lock/plmnId,,0,0
2456,lock/arfcn,0,0,0
2457,lock/roaming,true,0,0
2458,service/enableCpLog,true,0,0
2459,service/enableStateName,false,0,0
2460,location/interval,1000,0,0
2461,location/smallestDisplacement,10.0,0,0
2462,service/enableStateDetail,true,0,0
2463,location/nodeType,mobile,0,0
2464,location/historySize,1,0,0
2465,service/enableMessage,true,0,0
2466,location/enableGps,true,0,0
2467,service/enableSIBMessage,true,0,0
2468,service/enablePagingMessage,false,0,0
2469,service/enableMeasurementMessage,true,0,0
2470,service/simSlot,SLOT2,0,0
2471,service/simAPN,mcinet,0,0
2472,service/enableTest,true,0,0
2473,location/latitude,48.858,0,0
2474,location/longitude,2.2946,0,0
2475,location/altitude,0.0,0,0
2476,SIM_SLOT_NAME,SLOT2,0,0
2477,weather/updateInterval,600000,0,0
2478,sync/ip,capellaserver.pestelecom.ir,0,0
2479,sync/port,38899,0,0
2480,sync/statusPeriod,259200000,0,0
2481,sync/syncPeriod,259200000,0,0
