id,key,value,node_id,is_synced
1884,database/version,67,0,1
1901,lock/plmnId,,0,1
1908,lock/roaming,true,0,1
1909,SIM_SLOT_NAME,SLOT2,0,1
1915,location/interval,1000,0,1
1916,location/smallestDisplacement,10.0,0,1
1917,location/nodeType,mobile,0,1
1918,location/historySize,1,0,1
1919,location/enableGps,true,0,1
1920,location/latitude,48.858,0,1
1921,location/longitude,2.2946,0,1
1922,location/altitude,0.0,0,1
1923,lock/subType,1,0,1
1924,lock/tech,AUTO,0,1
1925,lock/band,,0,1
1926,lock/arfcn,0,0,1
1927,service/enableCpLog,true,0,1
1928,service/enableStateName,false,0,1
1929,service/enableStateDetail,true,0,1
1930,service/enableMessage,true,0,1
1931,service/enableSIBMessage,true,0,1
1932,service/enablePagingMessage,false,0,1
1933,service/enableMeasurementMessage,true,0,1
1934,service/simSlot,SLOT2,0,1
1935,service/simAPN,mcinet,0,1
1936,service/enableTest,true,0,1
1937,sync/ip,capellaserver.pestelecom.ir,0,1
1938,sync/port,38899,0,1
1939,sync/statusPeriod,10000,0,1
1940,sync/syncPeriod,12000,0,1
1941,weather/updateInterval,600000,0,1
1945,modem/address,192.168.1.1,0,1
1946,modem/username,admin,0,1
1947,modem/password,admin,0,1
